2.991637229919433594e+00,1.634538501501083374e+00,1.016564226150512784e+00
3.423959219455718905e+00,2.003134584426879972e+00,1.830558580905198962e+00
3.297230297327041537e+00,2.002400422096252353e+00,2.002019643783569336e+00
3.432333321869373233e+00,1.696363368630409152e+00,1.012650692462921054e+00
2.003955781459808350e+00,1.010167181491851807e+00,1.698362904787063643e+00
2.422761321067810059e+00,8.809478104114532027e-01,1.008645927906036466e+00
3.032618421316146673e+00,3.287542393803596585e+00,2.006884253025055020e+00
2.423086327314377009e+00,1.902611045539379209e+00,1.010830700397491455e+00
6.977712965011596324e+00,5.016378068923950551e+00,5.985453605651855469e+00
2.004163575172424494e+00,2.000544452667236239e+00,1.770822190493345216e+00
2.997204065322875977e+00,2.006802129745483221e+00,2.162267965078354059e+00
2.827221663296222598e+00,1.937244047224521593e+00,1.009606373310089067e+00
1.018469154834747314e+00,2.005985689163208185e+00,2.987341976165771573e+00
3.132937999069690616e+00,2.005798232555389582e+00,2.557667338848113925e+00
3.024766421318054288e+00,1.015664970874786466e+00,1.997991836071014493e+00
2.998493289947509854e+00,2.404077649116516113e+00,2.531432759761810480e+00
2.228724884986877264e+00,1.012905800342559726e+00,1.996984088420867831e+00
1.008185470104217440e+00,2.010942661762237460e+00,1.917735087871551558e+00
1.898330631852150008e+00,1.011698949337005660e+00,2.000897383689880460e+00
2.589958089590072454e+00,1.000954723358154386e+00,1.009876590967178300e+00
6.372045361995697377e+00,9.976093959808348899e+00,1.096659030914306676e+01
6.984316015243530629e+00,6.976004266738891957e+00,4.484049057960509899e+00
